movie.title,genre,mpaa.rating,total.gross,inflation.adjusted.gross
1492: Conquest of Paradise,Adventure,PG-13,7099531,14421454
Consenting Adults,Drama,R,21591728,43859823
Aladdin,Comedy,G,217350219,441969178
The Distinguished Gentleman,Comedy,R,46434570,94349900
The Muppet Christmas Carol,Comedy,G,27281507,55417615
Alive,Adventure,R,36299670,73914543
Aspen Extreme,Romantic Comedy,PG-13,7843388,15970955
Homeward Bound: The Incredible Journey,Adventure,G,41833324,85182343
The Cemetery Club,Comedy,PG-13,5583621,11369541
Swing Kids,Musical,PG-13,5632086,11468231
A Far Off Place,Adventure,PG,12890752,26248558
Born Yesterday,Romantic Comedy,PG,17760754,36165012
The Adventures of Huck Finn,Adventure,PG,24103594,49080505
Bound by Honor,,R,4496583,9156084
Indian Summer,Comedy,R,14717851,29968953
Super Mario Bros.,Action,PG,20844907,42445058
Guilty as Sin,Thriller/Suspense,R,22622537,46064723
Life With Mikey,Comedy,PG,12349549,25146538
What's Love Got to Do With It,Drama,R,39100956,79618610
Son in Law,Comedy,PG-13,25989889,52921433
Hocus Pocus,Comedy,PG,39360491,80147079
Another Stakeout,Comedy,PG-13,20107504,40943541
My Boyfriend's Back,,PG-13,3218882,6554384
Father Hood,,PG-13,3268203,6654819
The Joy Luck Club,Drama,R,32790064,66768171
Money for Nothing,Comedy,R,1044824,2127496
The Program,Action,R,23042200,46919256
Cool Runnings,Comedy,PG,68856263,140392731
The Nightmare Before Christmas,Musical,PG,50408318,100026637
The Three Musketeers,Adventure,PG,53661805,109310377
Sister Act 2 Back in the Habit,Comedy,PG,57319029,116965668
Tombstone,Western,R,56505065,115781734
The Air Up There,Comedy,PG,20782439,42940186
Cabin Boy,Comedy,PG-13,3469493,7168577
Iron Will,Drama,PG,20623071,42610902
Red Rock West,,R,2502551,5170709
Blank Check,Comedy,PG,30573770,63170804
Angie,Comedy,R,9252349,19116981
The Ref,Comedy,R,11325885,23401275
D2: The Mighty Ducks,Comedy,PG,45604206,94226333
Holy Matrimony,Comedy,,713234,1473665
White Fang 2: Myth of the White Wolf,Adventure,PG,8752399,18083994
The Inkwell,Comedy,R,8864699,18316030
When a Man Loves a Woman,Drama,R,50021959,103354194
3 Ninjas Kick Back,Action,PG,11744960,24267154
Renaissance Man,Comedy,PG-13,24172899,49945474
The Lion King,Adventure,G,422780140,761640898
I Love Trouble,Romantic Comedy,PG,30806194,63651027
Angels in the Outfield,Comedy,PG,50236831,103798152
In the Army Now,Comedy,PG,28881266,59673787
Color of Night,Thriller/Suspense,R,19750470,40804816
Camp Nowhere,Comedy,PG,10442641,21576332
It's Pat,Comedy,,60822,125666
A Simple Twist of Fate,Drama,PG-13,3404935,7035189
Quiz Show,Drama,PG-13,24787282,50840394
Terminal Velocity,Action,PG-13,16478900,34048315
Ed Wood,Comedy,R,5828466,12042634
The Puppet Masters,Horror,R,8579626,17727017
Squanto: A Warrior's Tale,Drama,PG,3319344,6858345
The Santa Clause,Comedy,PG,144833357,298369717
A Low Down Dirty Shame,Action,R,29317886,60321919
The Jungle Book,Adventure,PG,44342956,88930321
Houseguest,Comedy,PG,26325256,51016522
Bad Company,Thriller/Suspense,R,3523909,6829092
Miami Rhapsody,Romantic Comedy,PG-13,5086578,9857435
