movie.title,genre,mpaa.rating,total.gross,inflation.adjusted.gross
Tomorrowland,Adventure,PG,93436322,93436322
Inside Out,Adventure,PG,356461711,356461711
Ant-Man,Action,PG-13,180202163,180202163
Bridge of Spies,Thriller/Suspense,PG-13,72313754,72313754
The Good Dinosaur,Adventure,PG,123087120,123087120
Star Wars Ep. VII: The Force Awakens,Adventure,PG-13,936662225,936662225
The Finest Hours,Thriller/Suspense,PG,27569558,27569558
Zootopia,Adventure,PG,341268248,341268248
The Jungle Book,Adventure,PG,364001123,364001123
A Beautiful Planet,Documentary,G,7895708,7895708
Captain America: Civil War,Action,PG-13,408084349,408084349
Alice Through the Looking Glass,Adventure,PG,77042381,77042381
Finding Dory,Adventure,PG,486295561,486295561
The BFG,Adventure,PG,55483770,55483770
Pete’s Dragon,Adventure,PG,76233151,76233151
The Light Between Oceans,Drama,PG-13,12545979,12545979
Queen of Katwe,Drama,PG,8874389,8874389
Doctor Strange,Adventure,PG-13,232532923,232532923
Moana,Adventure,PG,246082029,246082029
Rogue One: A Star Wars Story,Adventure,PG-13,529483936,529483936
