Series.Title,Certificate,IMDB.Rating,Meta.score,Director,No.of.Votes,Gross
Drishyam,U,8.3,,Jeethu Joseph,30722,
Jagten,R,8.3,77,Thomas Vinterberg,281623,"687,185"
Jodaeiye Nader az Simin,PG-13,8.3,95,Asghar Farhadi,220002,"7,098,492"
Incendies,R,8.3,80,Denis Villeneuve,150023,"6,857,096"
Miracle in cell NO.7,TV-14,8.3,,Mehmet Ada Öztekin,33935,
Babam ve Oglum,,8.3,,Çagan Irmak,78925,
Inglourious Basterds,A,8.3,69,Quentin Tarantino,1267869,"120,540,719"
Eternal Sunshine of the Spotless Mind,UA,8.3,89,Michel Gondry,911664,"34,400,301"
Amélie,U,8.3,69,Jean-Pierre Jeunet,703810,"33,225,499"
Snatch,UA,8.3,55,Guy Ritchie,782001,"30,328,156"
Requiem for a Dream,A,8.3,68,Darren Aronofsky,766870,"3,635,482"
American Beauty,UA,8.3,84,Sam Mendes,1069738,"130,096,601"
Good Will Hunting,U,8.3,70,Gus Van Sant,861606,"138,433,435"
Bacheha-Ye aseman,PG,8.3,77,Majid Majidi,65341,"933,933"
Toy Story,U,8.3,95,John Lasseter,887429,"191,796,233"
Braveheart,A,8.3,68,Mel Gibson,959181,"75,600,000"
Reservoir Dogs,R,8.3,79,Quentin Tarantino,918562,"2,832,029"
Full Metal Jacket,UA,8.3,76,Stanley Kubrick,675146,"46,357,676"
Idi i smotri,A,8.3,,Elem Klimov,59056,
Aliens,U,8.3,84,James Cameron,652719,"85,160,248"
Amadeus,R,8.3,88,Milos Forman,369007,"51,973,029"
Scarface,A,8.3,65,Brian De Palma,740911,"45,598,982"
Star Wars: Episode VI - Return of the Jedi,U,8.3,58,Richard Marquand,950470,"309,125,409"
Das Boot,R,8.3,86,Wolfgang Petersen,231855,"11,487,676"
Taxi Driver,A,8.3,94,Martin Scorsese,724636,"28,262,574"
The Sting,U,8.3,83,George Roy Hill,241513,"159,600,000"
A Clockwork Orange,A,8.3,77,Stanley Kubrick,757904,"6,207,725"
